[adapt 00] N=  29 M=  3 dt=[8.62e-01,8.62e-01] delta=2.00e-02 | Newton it= 6 res=1.88e-10 | eta_time=5.90e-01/3.45e-04 eta_PA=2.33e+01/1.00e-02 eta_delta=2.17e-01/1.00e-02 -> refine_time(marked=8)
[adapt 01] N=  37 M=  3 dt=[4.31e-01,8.62e-01] delta=2.00e-02 | Newton it= 5 res=7.27e-11 | eta_time=3.20e-01/2.70e-04 eta_PA=2.28e+01/1.00e-02 eta_delta=1.99e-01/1.00e-02 -> refine_time(marked=16)
[adapt 02] N=  53 M=  3 dt=[2.16e-01,8.62e-01] delta=2.00e-02 | Newton it= 4 res=2.02e-10 | eta_time=1.98e-01/1.89e-04 eta_PA=2.25e+01/1.00e-02 eta_delta=1.96e-01/1.00e-02 -> refine_time(marked=31)
[adapt 03] N=  84 M=  3 dt=[1.08e-01,8.62e-01] delta=2.00e-02 | Newton it= 4 res=1.27e-10 | eta_time=8.33e-02/1.19e-04 eta_PA=2.24e+01/1.00e-02 eta_delta=1.94e-01/1.00e-02 -> refine_time(marked=59)
[adapt 04] N= 143 M=  3 dt=[5.39e-02,8.62e-01] delta=2.00e-02 | Newton it= 4 res=1.21e-10 | eta_time=2.68e-02/6.99e-05 eta_PA=2.24e+01/1.00e-02 eta_delta=1.93e-01/1.00e-02 -> refine_time(marked=102)
[adapt 05] N= 245 M=  3 dt=[2.69e-02,8.62e-01] delta=2.00e-02 | Newton it= 3 res=4.22e-09 | eta_time=7.55e-03/4.08e-05 eta_PA=2.24e+01/1.00e-02 eta_delta=1.92e-01/1.00e-02 -> refine_time(marked=169)
[adapt 06] N= 414 M=  3 dt=[1.35e-02,8.62e-01] delta=2.00e-02 | Newton it= 3 res=2.03e-10 | eta_time=2.00e-03/2.42e-05 eta_PA=2.24e+01/1.00e-02 eta_delta=1.92e-01/1.00e-02 -> refine_time(marked=271)
[adapt 07] N= 685 M=  3 dt=[6.73e-03,8.62e-01] delta=2.00e-02 | Newton it= 3 res=1.91e-10 | eta_time=5.14e-04/1.46e-05 eta_PA=2.24e+01/1.00e-02 eta_delta=1.92e-01/1.00e-02 -> refine_time(marked=374)
[adapt 08] N=1059 M=  3 dt=[3.37e-03,8.62e-01] delta=2.00e-02 | Newton it= 3 res=2.12e-11 | eta_time=1.30e-04/9.44e-06 eta_PA=2.24e+01/1.00e-02 eta_delta=1.92e-01/1.00e-02 -> refine_time(marked=438)
[adapt 09] N=1497 M=  3 dt=[1.68e-03,8.62e-01] delta=2.00e-02 | Newton it= 3 res=1.03e-10 | eta_time=3.28e-05/6.68e-06 eta_PA=2.24e+01/1.00e-02 eta_delta=1.92e-01/1.00e-02 -> refine_time(marked=490)
[adapt 10] N=1987 M=  3 dt=[8.42e-04,8.62e-01] delta=2.00e-02 | Newton it= 2 res=3.38e-09 | eta_time=8.23e-06/5.03e-06 eta_PA=2.24e+01/1.00e-02 eta_delta=1.92e-01/1.00e-02 -> refine_time(marked=534)
[adapt 11] N=2521 M=  3 dt=[4.21e-04,8.62e-01] delta=2.00e-02 | Newton it= 2 res=8.57e-10 | eta_time=2.06e-06/3.97e-06 eta_PA=2.24e+01/1.00e-02 eta_delta=1.92e-01/1.00e-02 -> add_plane
[adapt 12] N=2521 M=  4 dt=[4.21e-04,8.62e-01] delta=2.00e-02 | Newton it= 1 res=8.57e-10 | eta_time=2.06e-06/3.97e-06 eta_PA=4.67e-01/1.00e-02 eta_delta=5.20e-04/1.00e-02 -> add_plane
[adapt 13] N=2521 M=  5 dt=[4.21e-04,8.62e-01] delta=2.00e-02 | Newton it= 1 res=8.57e-10 | eta_time=2.06e-06/3.97e-06 eta_PA=3.83e-01/1.00e-02 eta_delta=5.80e-04/1.00e-02 -> add_plane
[adapt 14] N=2521 M=  6 dt=[4.21e-04,8.62e-01] delta=2.00e-02 | Newton it= 1 res=8.57e-10 | eta_time=2.06e-06/3.97e-06 eta_PA=2.86e-01/1.00e-02 eta_delta=3.03e-03/1.00e-02 -> add_plane
[adapt 15] N=2521 M=  7 dt=[4.21e-04,8.62e-01] delta=2.00e-02 | Newton it= 1 res=8.57e-10 | eta_time=2.06e-06/3.97e-06 eta_PA=2.69e-01/1.00e-02 eta_delta=3.31e-03/1.00e-02 -> add_plane
[adapt 16] N=2521 M=  8 dt=[4.21e-04,8.62e-01] delta=2.00e-02 | Newton it= 1 res=8.57e-10 | eta_time=2.06e-06/3.97e-06 eta_PA=1.03e-01/1.00e-02 eta_delta=7.27e-03/1.00e-02 -> add_plane
[adapt 17] N=2521 M=  9 dt=[4.21e-04,8.62e-01] delta=2.00e-02 | Newton it= 1 res=8.57e-10 | eta_time=2.06e-06/3.97e-06 eta_PA=1.01e-01/1.00e-02 eta_delta=7.38e-03/1.00e-02 -> add_plane
[adapt 18] N=2521 M= 10 dt=[4.21e-04,8.62e-01] delta=2.00e-02 | Newton it= 1 res=8.57e-10 | eta_time=2.06e-06/3.97e-06 eta_PA=7.13e-02/1.00e-02 eta_delta=3.48e-02/1.00e-02 -> add_plane
[adapt 19] N=2521 M= 11 dt=[4.21e-04,8.62e-01] delta=2.00e-02 | Newton it= 1 res=8.57e-10 | eta_time=2.06e-06/3.97e-06 eta_PA=6.97e-02/1.00e-02 eta_delta=3.53e-02/1.00e-02 -> add_plane
[adapt 20] N=2521 M= 12 dt=[4.21e-04,8.62e-01] delta=2.00e-02 | Newton it= 1 res=8.57e-10 | eta_time=2.06e-06/3.97e-06 eta_PA=6.34e-02/1.00e-02 eta_delta=3.70e-02/1.00e-02 -> add_plane
[adapt 21] N=2521 M= 13 dt=[4.21e-04,8.62e-01] delta=2.00e-02 | Newton it= 1 res=8.57e-10 | eta_time=2.06e-06/3.97e-06 eta_PA=6.06e-02/1.00e-02 eta_delta=3.77e-02/1.00e-02 -> add_plane
[adapt 22] N=2521 M= 14 dt=[4.21e-04,8.62e-01] delta=2.00e-02 | Newton it= 1 res=8.57e-10 | eta_time=2.06e-06/3.97e-06 eta_PA=3.25e-02/1.00e-02 eta_delta=8.56e-02/1.00e-02 -> add_plane
[adapt 23] N=2521 M= 15 dt=[4.21e-04,8.62e-01] delta=2.00e-02 | Newton it= 1 res=8.57e-10 | eta_time=2.06e-06/3.97e-06 eta_PA=3.19e-02/1.00e-02 eta_delta=8.59e-02/1.00e-02 -> add_plane
[adapt 24] N=2521 M= 16 dt=[4.21e-04,8.62e-01] delta=2.00e-02 | Newton it= 1 res=8.57e-10 | eta_time=2.06e-06/3.97e-06 eta_PA=2.97e-02/1.00e-02 eta_delta=9.36e-02/1.00e-02 -> add_plane
